  0.000220   0.285972   0.276205
  0.000227   0.278028   0.273348
  0.000234   0.270253   0.270299
  0.000241   0.262655   0.267069
  0.000249   0.255243   0.263670
  0.000257   0.248022   0.260115
  0.000265   0.241000   0.256416
  0.000273   0.234180   0.252585
  0.000282   0.227567   0.248637
  0.000291   0.221164   0.244583
  0.000300   0.214972   0.240436
  0.000309   0.208993   0.236208
  0.000319   0.203226   0.231911
  0.000329   0.197672   0.227556
  0.000339   0.192329   0.223156
  0.000350   0.187194   0.218721
  0.000361   0.182267   0.214261
  0.000372   0.177542   0.209787
  0.000384   0.173018   0.205307
  0.000396   0.168689   0.200831
  0.000408   0.164551   0.196366
  0.000421   0.160599   0.191921
  0.000434   0.156828   0.187502
  0.000448   0.153234   0.183117
  0.000462   0.149810   0.178771
  0.000477   0.146551   0.174470
  0.000491   0.143450   0.170218
  0.000507   0.140504   0.166022
  0.000523   0.137704   0.161883
  0.000539   0.135047   0.157807
  0.000556   0.132526   0.153796
  0.000574   0.130135   0.149853
  0.000592   0.127869   0.145981
  0.000610   0.125722   0.142181
  0.000629   0.123689   0.138456
  0.000649   0.121765   0.134805
  0.000670   0.119944   0.131232
  0.000691   0.118222   0.127736
  0.000712   0.116594   0.124318
  0.000735   0.115055   0.120978
  0.000758   0.113601   0.117717
  0.000781   0.112227   0.114534
  0.000806   0.110929   0.111430
  0.000831   0.109704   0.108404
  0.000857   0.108548   0.105455
  0.000884   0.107456   0.102583
  0.000912   0.106426   0.099787
  0.000941   0.105454   0.097066
  0.000970   0.104537   0.094419
  0.001001   0.103671   0.091847
  0.001032   0.102855   0.089346
  0.001064   0.102085   0.086917
  0.001098   0.101358   0.084558
  0.001132   0.100673   0.082268
  0.001168   0.100026   0.080046
  0.001205   0.099416   0.077891
  0.001242   0.098841   0.075801
  0.001281   0.098297   0.073775
  0.001322   0.097785   0.071812
  0.001363   0.097301   0.069912
  0.001406   0.096843   0.068071
  0.001450   0.096412   0.066290
  0.001496   0.096004   0.064567
  0.001543   0.095618   0.062901
  0.001591   0.095253   0.061291
  0.001641   0.094907   0.059735
  0.001692   0.094580   0.058233
  0.001746   0.094270   0.056782
  0.001800   0.093976   0.055383
  0.001857   0.093697   0.054034
  0.001915   0.093432   0.052734
  0.001975   0.093179   0.051482
  0.002037   0.092938   0.050277
  0.002101   0.092709   0.049117
  0.002167   0.092490   0.048003
